Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Asesoría para el trámite de la membresía GS1 para la trazabilidad en productos agropecuarios,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,3.0,4.0,Nivel 2,0.0,2,0.33541901833426124
Asesoría presencial y a distancia para la Constitución de Sociedades Agropecuarias y Pesqueras.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,2.0,0.0,Nivel 2,0.0,2,-0.4615595576363563
Asistencia Técnica y Capacitación Pecuaria.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,7200.0,1.0,1.0,Nivel 2,0.0,2,-0.3535801123803149
Siembra de Crías de Peces.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,43200.0,0.0,1.0,Nivel 2,0.0,2,-0.24755008460497324
Clínica Universitaria de Rehabilitación Integral (C.U.R.e.I.) Servicios de Terapia Física UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,1440.0,3.0,0.0,Nivel 3.7,1.0,0,-0.4306085972177383
Inscripción al Catálogo de Empresas del Sector Energético del Estado de Hidalgo.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,25920.0,3.0,1.0,Nivel 1,1.0,1,0.4250668055186913
"Reinscripción: 2°,3°,4°,5° y 6° Semestre Bachillerato del Estado de Hidalgo",Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,1,-0.20086966126398303
Titulación UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,367200.0,4.0,1.0,Nivel 3.2,1.0,1,0.7685374830765828
Opinión de Cumplimiento de Obligaciones Fiscales Estatales,Secretaría de Hacienda,Secretaría de Hacienda,4320.0,0.0,0.0,,1.0,1,0.29069467502686824
Reposición de certificado o constancia del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,1,-0.20086966126398303
Tienda en línea Margarita Michelena.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,2880.0,0.0,0.0,Nivel 1,1.0,1,0.11670194437952788
Cesión de Derechos - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,,1.0,1,-0.025723025484433698
Órdenes de escrituración - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,1,0.16409541780227632
Constancia escolar UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,1.0,1,0.06116187720455782
"Asesoría técnica, especializada en agricultura sustentable.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,0.0,Nivel 2,0.0,2,-0.5569824777501083
Credencialización UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,1,-0.14660533822476812
Garantias del Interes Fiscal (Federal),Secretaría de Hacienda,Secretaría de Hacienda,129600.0,0.0,1.0,,0.0,2,0.14865726497307996
Garantias del Interes Fiscal (Estatal),Secretaría de Hacienda,Secretaría de Hacienda,129600.0,0.0,1.0,,0.0,2,0.14865726497307996
Remates en línea,Secretaría de Hacienda,Secretaría de Hacienda,43200.0,0.0,0.0,,0.0,2,-0.10707627731975256
Historial Académico UNIDEH,Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
Dictamen de Equivalencia (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,86400.0,3.0,1.0,,1.0,1,0.5949833255602108
Préstamo con maquinaria especializada para la nivelación de tierras agrícolas.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,1.0,Nivel 2,0.0,2,-0.550657936401317
Publicaciones e impresiones (Materia Catastral Compendio Catastral),Secretaría de Hacienda,Instituto Catastral,4320.0,1.0,0.0,,1.0,1,0.29069467502686824
Refrendo anual perito topográfo,Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,2.0,,1.0,1,1.1142144860339533
Becas para la Transformación de Estudiantes de Instituciones de Educación Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,11.0,3.0,Nivel 4.1,0.0,0,0.37493095244322006
Copia de Ortofoto a color escala 1:1000,Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,1,0.39244213648941156
Autorización de Centro de Asesoría Particular de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,21600.0,9.0,0.0,Nivel 1,1.0,1,0.803754550537698
Admisión UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,0,-0.6728298659655023
Constancia Escolar UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,1,0.25730032678752385
Certificado Parcial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,21600.0,2.0,0.0,Nivel 3.9,1.0,0,-0.3298651270187067
Cursos de Educación Continua UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,0,-0.6728298659655023
Titulación en la UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,518400.0,8.0,0.0,Nivel 1,1.0,1,1.219864897771756
Examen TOEFL UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
Asesoría Jurídica en Derechos Humanos,Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,,0.0,2,-0.2646065170758479
Escrituras Públicas para personas que han tenido en posesión un predio,Secretaría de Gobierno,Secretaría de Gobierno,345600.0,5.0,0.0,Nivel 1,0.0,2,0.43280517226445603
Modificación de Tipo de Perito en el Padrón,Secretaría de Hacienda,Instituto Catastral,4320.0,3.0,1.0,,1.0,1,0.39244213648941156
Atención al empoderamiento.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,30.0,0.0,0.0,,0.0,2,-0.6722156675846372
Uso de la Plataforma Naturalista,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,2,-0.477258762084311
Credencial de Identificación Escolar (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,2.0,Nivel 1,1.0,1,0.6623136801040999
Becas Institucionales UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,11520.0,0.0,3.0,Nivel 2,0.0,2,0.36093770784719614
Transformando con la Juventud,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,Nivel 3.2,0.0,2,-0.9018967458673687
Tu Experiencia Transforma,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,Nivel 3.2,0.0,2,-0.9018967458673687
Acompañamiento a los municipios para la implementación de estrategias que impulsen el desarrollo económico local,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,21600.0,0.0,1.0,Nivel 1,0.0,2,-0.22971694325126735
"Expedición, Renovación o Reposición por Robo o Extravío del Tarjetón para Personas que Conducen Unidades Autorizadas por el Sistema de Transporte Convencional",Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,23.0,7.0,1.0,Nivel 2,1.0,1,0.2217798488825325
"Suministro e instalación de mojonera de hormigon de 40 cms. de largo y 10 cms. de diametro con una varilla al centro de 1/2"", para identificación de vertices que delimitan perimetrales de predio",Secretaría de Hacienda,Instituto Catastral,4320.0,4.0,1.0,,1.0,1,0.5822605797761216
Equivalencia de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,43200.0,3.0,0.0,Nivel 3.9,1.0,0,-0.2742990940554066
Actualización del Registro de Proveedores (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,1,0.1345610515215638
Gestión de Créditos,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,2.0,0.0,Nivel 2,0.0,2,-0.4615595576363563
Asignación de Servicio Social UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,30.0,3.0,1.0,Nivel 2,0.0,2,-0.7172665547561059
Asesoría Legal En Materia Notarial,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
"Inscripción de la designación, aceptación o discernimiento del cargo de albacea. Declaración y reconocimiento de herederos en un solo documento.",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.4838503318171508
Expedición de constancias de documentos que obran en la Dirección General de Profesiones,Secretaría de Educación Pública,Secretaría de Educación Pública,4320.0,1.0,1.0,Nivel 1,1.0,1,0.22362004205865357
Verificación energética en centros de carga eléctrica con tarifa comercial hasta 25 kW.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,3.0,1.0,Nivel 1,1.0,1,0.43351298720949744
Verificación energética en centros de carga eléctrica con tarifa de uso domestico (DAC),Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,0.0,1.0,Nivel 1,1.0,1,0.3380900670957454
Inscripción Nivel Posgrado UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,6.0,1.0,Nivel 3.9,1.0,0,-0.381263961216249
Ayudas Comunitarias a Mujeres y Familias Indígenas,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,2.0,1.0,,0.0,2,-0.308436667653553
Eco Estufas del Bienestar,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,2.0,1.0,Nivel 2,0.0,2,-0.7851366408449729
Mujer de Maíz,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),5760.0,2.0,1.0,Nivel 2,0.0,2,-0.27604327363014414
Seguridad Alimentaria,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,1.0,1.0,Nivel 2,0.0,2,-0.880559560958725
Remodelación de Parques en Comunidades Indígenas,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,3.0,1.0,,0.0,2,-0.308436667653553
Revalidación de Estudios Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,1,-0.20086966126398303
Corredor Artesanal,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,4.0,1.0,,0.0,2,-0.118618224366843
Impuesto sobre Tenencia y Refrendo Vehicular (transporte público),Secretaría de Hacienda,Secretaría de Hacienda,1440.0,8.0,3.0,Nivel 3.7,1.0,0,0.65218684955994
Constancia de estudios UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,4320.0,0.0,0.0,Nivel 3.1,1.0,1,0.07049715207585018
Asesoría en Materia de Mantenimiento y Conservación de Parques Industriales,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
"Inscripción de la disolución, liquidación y de ambas cuando consten en un solo documento. (Registro Público de la Propiedad y del Comercio, personas morales)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.4838503318171508
Acciones en materia de transversalidad de la perspectiva de género,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,0.0,1.0,Nivel 1,0.0,2,-0.3211251385790066
Acciones en materia de protección de los derechos humanos de las mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,0.0,0.0,Nivel 1,0.0,2,-0.3274496799277979
Apoyos asistenciales otorgados a mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,3.0,1.0,Nivel 1,0.0,2,-0.22570221846525457
Apoyos económicos para el bienestar físico de las mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,1440.0,4.0,1.0,Nivel 1,0.0,2,-0.19201739868384896
"Apoyos económicos para niñas y adolescentes embarazadas, madres o con plan de restitución de derechos",Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,3.0,2.0,Nivel 1,0.0,2,0.17204721906449405
Levantamiento topográfico.,Secretaría de Educación Pública,Instituto Hidalguense de Infraestructura Física Educativa,21600.0,1.0,1.0,Nivel 1,1.0,1,0.3150282373863928
Constancia de estudios UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,,1.0,1,0.1345610515215638
Constancia de Estudios UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
Verificación energética en centros de carga eléctrica con tarifa empresarial menor a 100 kW.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,3.0,1.0,Nivel 1,1.0,1,0.43351298720949744
"Talleres, Pláticas y Conferencias sobre Habilidades de vida para Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,,0.0,2,-0.3147612090023443
Pago de multa por incomparecencia del patrón en el procedimiento de conciliación,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,1440.0,0.0,0.0,,1.0,1,0.1345610515215638
"Por cada foja digitalizada, archivo informático y disco óptico que se utilice para entregar los documentos a que se refieren las fracciones I a III",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,,1.0,1,0.3884274117033988
Certificado de Estudios UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,2880.0,1.0,0.0,Nivel 2,1.0,1,0.04330277006252188
Constancia de Estudios UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,180.0,1.0,0.0,Nivel 3.7,1.0,0,-0.4082464133348564
Reposición de la Credencial de la UPMH por pérdida,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,4320.0,1.0,0.0,Nivel 3.7,1.0,0,-0.36989789382618593
Reposición de credencial ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,1440.0,1.0,0.0,Nivel 1,1.0,1,0.06116187720455782
Publicación de Artículo en Congreso ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,125280.0,3.0,0.0,Nivel 1,1.0,1,0.7063838681563659
Inspección Vehicular para Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,4.0,1.0,Nivel 2,1.0,1,0.017297069168264345
Quejas administrativas en contra de las y los Notarios Públicos durante el ejercicio de su función,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Cotejo de documentos no autentificados que deben destinarse al apéndice (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
Constancia Escolar UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,10.0,1.0,0.0,Nivel 1,1.0,1,-0.26873974735285017
Trámite de Equivalencia de Estudios UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,86400.0,3.0,1.0,Nivel 2,1.0,1,0.4481849769261989
"Inscripción de convenios para fraccionar, lotificar o subdividir un predio (zonas urbanas, residenciales e industriales). (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,4.0,1.0,Nivel 3.5,1.0,0,0.15987455488481872
Inscripción de créditos refaccionarios de habilitación o avío agrícola. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,Nivel 3.5,1.0,0,-0.12536680851564336
"Reposición de Placas por robo, Extravío o Robo de Unidades Autorizadas por el Sistema de Transporte Convencional",Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,4.0,1.0,Nivel 2,1.0,1,0.017297069168264345
Reporte Ciudadano en Materia de Protección Civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,28800.0,0.0,0.0,Nivel 1,0.0,2,-0.21297965489070603
Ingreso a Casa de Día del Sistema DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,4.0,0.0,,0.0,2,-0.12494276571563423
Préstamos prendarios,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,,0.0,2,-0.41018412911609636
Historial Académico UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,4320.0,1.0,0.0,Nivel 3.1,1.0,1,0.07049715207585018
"Proceso y trámite de Adopción de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Por si las Lluvias,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,2.0,1.0,Nivel 2,0.0,2,-0.7851366408449729
Alta Provisional de Albacea de la Concesión del Servicio Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,7.0,1.0,,1.0,1,0.37390490890191075
Consejería en Salud Sexual y Reproductiva para Mujeres Jóvenes,Secretaría de Gobierno,Ciudad de las Mujeres,50.0,0.0,0.0,,0.0,2,-0.6323051967478338
Ortofoto a color escala 1:1000 derivado de vuelo con Dron.,Secretaría de Hacienda,Instituto Catastral,4320.0,3.0,1.0,,1.0,1,0.39244213648941156
Dictaminación de Avalúos (Catastral),Secretaría de Hacienda,Instituto Catastral,12960.0,8.0,1.0,Nivel 1,1.0,1,0.8067315466574816
"Copia de plano de la localidad, 60x90 cms (Catastral)",Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,1,0.39244213648941156
Concesiones y Permisos de Servicios Auxiliares y Conexos Autorizados por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,11.0,1.0,,1.0,1,0.664513891352867
Historial Académico UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,1,0.25730032678752385
Extinción de Permisos de Servicio Privado y Complementario de Transporte de Personas y Bienes,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,1,-0.025723025484433698
Transferencia por Sentencia de Adjudicación de la Concesión del Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,10.0,1.0,,1.0,1,0.37390490890191075
Atención Temporal a Niñas y Niños acompañantes de usuarias,Secretaría de Gobierno,Ciudad de las Mujeres,1440.0,0.0,4.0,,0.0,2,0.38679444685452113
"Aviso de Previsiones de Compra Venta de Estupefacientes para Farmacias, Droguerías y Boticas",Secretaría de Salud,Secretaría de Salud,20.0,1.0,0.0,Nivel 1,0.0,2,-0.7616464335229287
Examen General de Egreso de la Licenciatura (ITSOEH)-IngenierÍas,Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,2.0,0.0,,1.0,1,0.3861175951406203
Proceso de Incubación (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,43200.0,0.0,0.0,,1.0,1,0.4376689033179076
Protocolo de Titulación a Nivel Licenciatura (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,4.0,0.0,,1.0,1,0.5759360384273304
Cuota por Servicio de Extensión y Educación continua (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,43200.0,0.0,0.0,,1.0,1,0.4376689033179076
Curso de Idiomas (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,10080.0,1.0,0.0,,1.0,1,0.35860983854000283
Expedición de Constancias de No inhabilitación,Secretaría de Contraloría,Secretaría de Controlaría,2880.0,0.0,1.0,,1.0,1,0.1964256600453252
Curso de Asignatura de 120 horas o más,Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,1.0,0.0,,1.0,1,0.29069467502686824
Permiso Sanitario para Traslado de Cadáveres o Restos Áridos Fuera del Territorio Estatal,Secretaría de Salud,Secretaría de Salud,20.0,1.0,1.0,Nivel 1,1.0,1,-0.21057671153647722
Aprobación del Plan de Manejo de Residuos de Manejo Especial.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,86400.0,1.0,2.0,Nivel 2,1.0,1,0.7505114943421956
Autorización para la Operación de sitios de Disposición Final para Residuos Provenientes de la Construcción,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,1.0,1.0,,0.0,2,-0.10075173597096121
Autorización para Prestar Servicios de Seguridad Privada en el Estado.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,14400.0,11.0,12.0,Nivel 1,1.0,1,1.8964404361668135
Consulta externa de pediatría y especialidades en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Inicio de Carpetas de Investigación Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,120.0,0.0,0.0,Nivel 1,0.0,2,-0.6364424489163751
Certificado de Inscripción (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,Nivel 3.5,1.0,0,0.23653304527754598
Pago de Derechos Anuales de las Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,Nivel 2,1.0,1,-0.1725213741184457
Inscripción en el Padrón de Proveedores (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Registro Estatal de Consultores en Materia de Protección Civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Por la supervisión y emisión de opiniones técnicas de factibilidad de usos de suelo de impacto significativo,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Pago de bases Licitaciones Públicas Estatales,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,10.0,1.0,1.0,Nivel 1,1.0,1,-0.2624152060040588
"Por la supervisión y la emisión de opiniones técnicas de establecimientos comerciales, industriales, de espectáculos públicos y de servicios instalados o que pretendan instalarse en el territorio del Estado",Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Inscripción nivel licenciatura UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,3.0,1.0,Nivel 2,1.0,1,-0.1725213741184457
Préstamo de documentos históricos,Oficialía Mayor,Oficialía Mayor,30.0,0.0,0.0,Nivel 1,0.0,2,-0.7456148419016432
Atención Ciudadana y Recepción de Quejas o Denuncias en contra de Servidores Públicos de la PGJH,Procuraduría General de Justicia,Procuraduría General de Justicia,60.0,2.0,0.0,Nivel 1,0.0,2,-0.5959275987486762
Por la Expedición y Entrega de un ejemplar del Periódico Oficial.,Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,Nivel 3.7,1.0,0,-0.38045390529124196
Inscripción en el Padrón de Proveedores (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Certificación de Copias Expedidas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,1,-0.025723025484433698
Transferencia de Concesión del Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,8.0,1.0,,1.0,1,0.37390490890191075
Sustitución Vehicular de Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,9.0,1.0,,1.0,1,0.37390490890191075
Autorización de Cambio de Número de Motor para las Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,3.0,1.0,,1.0,1,-0.025723025484433698
Cancelación de Actos Jurídicos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
Depósito de Testamento Ológrafo (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.4838503318171508
Devolución de un documento sin inscripción por causas no imputables al Registro Público de la Propiedad.,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,7200.0,1.0,0.0,Nivel 3.5,1.0,0,-0.1821553446764762
Certificado de no Inscripción (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,6.0,2.0,Nivel 3.5,1.0,0,0.5217744086780081
Inscripción de accesión de construcciones (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.3696840459844531
Inscripción de actas de asamblea de socios o juntas de administradores (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
Inscripción de apeo o deslinde. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
Inscripción de aportaciones de bienes inmuebles. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,6.0,1.0,,1.0,1,0.6736687751038608
Inscripción de compra-venta a plazos con reserva de dominio. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.3696840459844531
Inscripción de cualquier clase de testamento. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
